plot_name	sample_name	colony_points	ground_elevation	overhang_prop	outcrop_prop	environment_rugosity	colony_radius	environment_radius
WP20	KP0363_AC_WP20	3409	43.55837879	0.126766924	0.454548652	2.344432319	0.099460385	0.1
WP20	KP0365_AC_WP20	710	83.26453898	0.130062401	0.533327935	1.79277264	0.037198058	0.1
WP20	KP0367_AC_WP20	1112	95.26481516	0	0.693571495	2.448494869	0.055949553	0.1
WP20	KP0368_AC_WP20	729	92.50046321	0	0.812158865	1.985013988	0.048004886	0.1
WP20	KP0369_AC_WP20	5126	51.01482874	0.042706873	0.46803912	1.772084556	0.125566158	0.1
WP20	KP0372_AC_WP20	17069	9.002283675	0	0.618483022	2.637641433	0.163286081	0.1
WP20	KP0373_AC_WP20	666	67.80031336	0.08938991	0.498974033	1.593842489	0.042335217	0.1
WP20	KP0374_AC_WP20	10912	45.62630994	0	0.509884393	2.31019029	0.165208639	0.1
WP20	KP0375_LM_WP20	7150	126.4513821	0.316622077	0.443613906	2.34317245	0.135602584	0.1
WP20	KP0377_LM_WP20	20197	14.66923462	9.33E-05	0.545392887	2.08974007	0.198520415	0.1
WP20	KP0378_AC_WP20	229	45.54688753	0.029791726	0.772083461	2.038583609	0.025266722	0.1
WP20	KP0379_AC_WP20	12	38.44145749	0	0.533835317	1.273622465	0.005621714	0.1
WP20	KP0380_LM_WP20	3558	33.15436076	0.177605572	0.423717143	1.635875314	0.088943434	0.1
WP20	KP0382_AC_WP20	473	72.78123444	0.308421511	0.56031835	2.144542652	0.041059972	0.1
WP20	KP0383_AC_WP20	2065	114.2290555	1.022376042	0.531653078	1.632241678	0.092074805	0.1
WP20	KP0384_AC_WP20	13872	50.52040089	0.222123902	0.569566005	1.590722463	0.208410808	0.1
WP20	KP0385_AC_WP20	6400	57.97756322	0.015004441	0.70399205	1.177222762	0.159628158	0.1
WP20	KP0386_AC_WP20	145	75.6858062	0	0.691446508	1.254863396	0.02891163	0.1
WP20	KP0388_AC_WP20	210	121.2867545	0.024412365	0.582347502	1.469297934	0.035238071	0.1
WP20	KP0389_AC_WP20	287	99.45346356	0	0.886643578	1.339798009	0.039344464	0.1
WP20	KP0390_AC_WP20	41	45.39413316	0	0.610949783	1.519423383	0.011703848	0.1
WP20	KP0392_AC_WP20	1805	82.20600075	0.221310706	0.50584358	2.821896639	0.061720577	0.1
WP20	KP0393_AC_WP20	169	89.06327301	0	0.555534957	2.645777374	0.022032258	0.1
WP20	KP0394_AC_WP20	1522	97.5607086	0	0.694401807	2.101419079	0.053877794	0.1
WP20	KP0395_AC_WP20	122	98.02316928	0	0.858061534	2.415867435	0.019780927	0.1
WP20	KP0396_AC_WP20	172	39.30791819	0	0.703340471	2.25803608	0.020102184	0.1
WP20	KP0399_LM_WP20	2589	51.23508699	0.341822771	0.426119247	1.588141464	0.081467845	0.1
WP20	KP0400_LM_WP20	114393	29.32322055	0.196422863	0.372004036	2.051860486	0.409959813	0.1
WP20	KP0405_AC_WP20	666	85.94787436	0	0.626618867	1.771352415	0.036244401	0.1
CA05	KP0407_AC_CA05	22309	39.8885596	0.004488177	0.605093018	2.519445117	0.17316567	0.1
CA05	KP0408_AC_CA05	17997	113.0898415	0	0.745199362	1.855970105	0.192859475	0.1
